"ranking","school_name","instate_tuition","outstate_tuition","room_and_board","enrollment","school_type","religious_affiliation","acad_calendar","setting_urban","setting_suburb","endowment","salary","accept_rate","stud_fac_ratio","four_year_grad_rate"
"38","Boston College",55464,55464,14478,13996,1,1,1,0,"1",2.3e+09,57900,0.32,12,0.88
"39","College of William and Mary",21830,44701,12236,8740,0,0,1,0,"1",874100000,53400,0.36,11,0.85
"41","University of California--San Diego",14060,42074,13733,35772,0,0,0,1,"0",1.4e+09,58000,0.34,19,0.55
"42","Boston University",53948,53948,15720,33355,1,0,1,1,"0",2e+09,55200,0.25,10,0.81
"43","Case Western Reserve University",49042,49042,15190,11824,1,0,1,1,"0",1.8e+09,63000,0.33,11,0.66
"44","Northeastern University",51387,51387,16880,21489,1,0,1,1,"0",795900000,60100,0.27,14,0
"45","Tulane University",54820,54820,15190,11248,1,0,1,1,"0",1.3e+09,50200,0.21,8,0.73
"46","Pepperdine University",53932,53932,15320,7710,1,1,1,0,"1",860300000,52200,0.4,13,0.77
"47","University of Georgia",11830,30404,10038,37606,0,0,1,1,"0",1.2e+09,49900,0.54,17,0.63
"48","University of Illinois--Urbana-Champaign",15998,32568,11308,48216,0,0,1,1,"0",1.8e+09,59900,0.62,20,0.7
"49","Rensselaer Polytechnic Institute",53880,53880,15260,7633,1,0,1,0,"1",674300000,68400,0.43,13,0.61
"50","University of Texas--Austin",10606,37480,10804,51525,0,0,1,1,"0",3.7e+09,56800,0.36,18,0.58
"51","University of Wisconsin--Madison",10555,36805,11114,43820,0,0,1,1,"0",3.8e+09,53700,0.54,18,0.61
"52","Villanova University",53458,53458,14020,10983,1,1,1,0,"1",641300000,61200,0.36,11,0.87
"53","Lehigh University",52930,52930,13600,7017,1,0,1,1,"0",1.3e+09,65800,0.25,9,0.76
"54","Syracuse University",51853,51853,15550,22484,1,0,1,1,"0",1.3e+09,53600,0.47,15,0.7
"55","University of Miami",50226,50226,14108,17003,1,0,1,0,"1",948600000,53400,0.36,12,0.72
"56","Ohio State University--Columbus",10726,30742,12434,59837,0,0,1,1,"0",4.2e+09,53100,0.48,19,0.59
"57","Purdue University--West Lafayette",10002,28804,10030,41573,0,0,1,1,"0",2.3e+09,60000,0.57,13,0.51
"58","Rutgers University--New Brunswick",14974,31282,12706,49577,0,0,1,1,"0",985500000,55600,0.58,13,0.6
"59","Pennsylvania State University--University Park",18454,34858,11570,47119,0,0,1,1,"0",2e+09,56700,0.5,16,0.67
"60","Southern Methodist University",54493,54493,16845,11789,1,1,1,1,"0",1.5e+09,54900,0.49,11,0.71
"61","University of Washington",11517,36898,12798,46166,0,0,0,1,"0",3.2e+09,56900,0.46,19,0.65
"62","Worcester Polytechnic Institute",50530,50530,14774,6642,1,0,1,1,"0",502500000,68800,0.48,13,0.82
"63","George Washington University",55230,55230,13850,27973,1,0,1,1,"0",1.7e+09,53300,0.41,13,0.73
"64","University of Connecticut",15730,38098,12874,27578,0,0,1,0,"0",401300000,57200,0.48,16,0.7
"65","University of Maryland--College Park",10595,35216,12429,40521,0,0,1,0,"1",548700000,58200,0.44,18,0.67
"66","Brigham Young University--Provo",5620,5620,7628,34334,1,1,1,1,"0",1.7e+09,55800,0.52,20,0.23
"67","Clark University",45730,45730,9170,3153,1,0,1,1,"0",408800000,46100,0.56,10,0.77
"68","Clemson University",14970,36724,10832,24387,0,0,1,0,"1",682700000,55400,0.47,16,0.59
